-1 [0, 0, 0, 0, 0, 0, 1] 
-1.1175871e-07 [0, 0, 0, 0, 0, 0, 1] 
0.0015738882 [0, 0, 0, 0, 0, 0, 1] 
0.0030168882 [0, 0, 0, 0, 0, 0, 1] 
0.0044778882 [0, 0, 0, 0, 0, 0, 1] 
0.0059568882 [0, 0, 0, 0, 0, 0, 1] 
0.0073988882 [0, 0, 0, 0, 0, 0, 1] 
0.0088578882 [0, 0, 0, 0, 0, 0, 1] 
0.010292888 [0, 0, 0, 0, 0, 0, 1] 
0.011732888 [0, 0, 0, 0, 0, 0, 1] 
0.013184888 [0, 0, 0, 0, 0, 0, 1] 
0.014627888 [0, 0, 0, 0, 0, 0, 1] 
0.016069888 [0, 0, 0, 0, 0, 0, 1] 
0.017520888 [0, 0, 0, 0, 0, 0, 1] 
0.018965888 [0, 0, 0, 0, 0, 0, 1] 
0.020412888 [0, 0, 0, 0, 0, 0, 1] 
0.021863888 [0, 0, 0, 0, 0, 0, 1] 
0.023302888 [0, 0, 0, 0, 0, 0, 1] 
0.024775888 [0, 0, 0, 0, 0, 0, 1] 
0.026210888 [0, 0, 0, 0, 0, 0, 1] 
0.027659888 [0, 0, 0, 0, 0, 0, 1] 
0.029112888 [0, 0, 0, 0, 0, 0, 1] 
0.030556888 [0, 0, 0, 0, 0, 0, 1] 
0.031997888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.033446888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.034890888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.036337888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.037791888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.039240888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.040725888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.042172888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.043618888 [0, 0, 0, -0.7217553, -0.079746303, -0.67949751, 0.10484725] 
0.045068888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.046515888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.047961888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.049416888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.050864888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.052316888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.053768888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.055222888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.056703888 [-8.0756237e-08, 8.3105565e-07, -4.9296568e-08, -0.72175631, -0.079747485, -0.6794956, 0.10485179] 
0.058153888 [-4.6707398e-07, 5.3705539e-06, -8.020704e-07, -0.72175426, -0.079752094, -0.67949678, 0.10485473] 
0.059594888 [-4.6707398e-07, 5.3705539e-06, -8.020704e-07, -0.72175426, -0.079752094, -0.67949678, 0.10485473] 
0.061054888 [-4.6707398e-07, 5.3705539e-06, -8.020704e-07, -0.72175426, -0.079752094, -0.67949678, 0.10485473] 
0.062503888 [-4.6707398e-07, 5.3705539e-06, -8.020704e-07, -0.72175426, -0.079752094, -0.67949678, 0.10485473] 
0.063957888 [-4.6707398e-07, 5.3705539e-06, -8.020704e-07, -0.72175426, -0.079752094, -0.67949678, 0.10485473] 
0.065410888 [-4.6707398e-07, 5.3705539e-06, -8.020704e-07, -0.72175426, -0.079752094, -0.67949678, 0.10485473] 
